order_id,signal_time,fill_time,symbol,side,qty,fill_price,commission,slip,slip_dir,costs,strategy_id,exit_reason,is_maker
qt_3836b3cf0e11254107adb23e,2022-02-07,2022-02-08,BTC-USDT,short,6.178104087316579,43818.070005,135.35629869810725,21.91999499999656,negative,"{'commission': np.float64(135.35629869810725), 'slippage': np.float64(135.42401070343774), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(270.78030940154497)}",VolatilityReversion,signal,False
qt_7c7be3645140454130c1dcac,2022-02-07,2022-02-08,XRP-USDT,short,283397.43408505566,0.8309843000000001,117.74940919248307,0.0004156999999999078,negative,"{'commission': np.float64(117.74940919248307), 'slippage': np.float64(117.80831334913151), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(235.55772254161457)}",VolatilityReversion,signal,False
qt_7d14558634736fbac8253144,2022-02-07,2022-02-08,LTC-USDT,short,1472.2280915870351,137.33130000000003,101.09149885708332,0.06869999999997844,negative,"{'commission': np.float64(101.09149885708332), 'slippage': np.float64(101.14206989199758), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(202.23356874908092)}",VolatilityReversion,signal,False
qt_4b53d2a7e7269d396184add3,2022-02-08,2022-02-09,XRP-USDT,cover,283397.43408505566,0.8767381499999999,124.2326710372393,0.000438149999999915,positive,"{'commission': np.float64(124.2326710372393), 'slippage': np.float64(124.17058574434304), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(248.40325678158234)}",VolatilityReversion,hard_stop,False
qt_8699e34fed21c68839743996,2022-02-08,2022-02-09,AVAX-USDT,short,1714.4513604450926,86.306825,73.98442676847327,0.04317499999999086,negative,"{'commission': np.float64(73.98442676847327), 'slippage': np.float64(74.0214374872012), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(148.00586425567445)}",VolatilityReversion,signal,False
qt_e88368452eb666b344508e4e,2022-02-09,2022-02-10,XRP-USDT,short,249436.91074087552,0.8694650500000001,108.43833803458045,0.000434949999999934,negative,"{'commission': np.float64(108.43833803458045), 'slippage': np.float64(108.49258432672734), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(216.9309223613078)}",VolatilityReversion,signal,False
qt_1b0c424eb359d96b8150e6d8,2022-02-12,2022-02-13,AVAX-USDT,cover,1714.4513604450926,81.330645,69.71871748306343,0.04064499999999782,positive,"{'commission': np.float64(69.71871748306343), 'slippage': np.float64(69.68387554528705), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(139.40259302835048)}",Router,StateSwitch,False
qt_95cf0a745418943ced517857,2022-02-13,2022-02-14,LTC-USDT,cover,1472.2280915870351,125.66279999999999,92.50215211374163,0.06279999999999575,positive,"{'commission': np.float64(92.50215211374163), 'slippage': np.float64(92.45592415165954), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(184.9580762654012)}",Router,StateSwitch,False
qt_a1bea9efa75fb5383705468c,2022-02-17,2022-02-18,BTC-USDT,cover,6.178104087316579,40535.967854999995,125.21771434415446,20.257854999996198,positive,"{'commission': np.float64(125.21771434415446), 'slippage': np.float64(125.1551367757431), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(250.37285111989758)}",Router,StateSwitch,False
qt_153acf504dca8f72c4a100e2,2022-02-20,2022-02-21,XRP-USDT,cover,249436.91074087552,0.77728845,96.94221486128174,0.00038844999999998464,positive,"{'commission': np.float64(96.94221486128174), 'slippage': np.float64(96.89376797728927), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(193.835982838571)}",Router,StateSwitch,False
