timestamp,equity,cash
2025-03-15,10000.0,10000.0
2025-03-16,10000.0,10000.0
2025-03-17,10000.0,10000.0
2025-03-18,10000.0,10000.0
2025-03-19,10000.0,10000.0
2025-03-20,10000.0,10000.0
2025-03-21,10000.0,10000.0
2025-03-22,10000.0,10000.0
2025-03-23,10000.0,10000.0
2025-03-24,10000.0,10000.0
2025-03-25,10000.0,10000.0
2025-03-26,10000.0,10000.0
2025-03-27,10000.0,10000.0
2025-03-28,10000.0,10000.0
2025-03-29,10000.0,10000.0
2025-03-30,10000.0,10000.0
2025-03-31,10000.0,10000.0
2025-04-01,10000.0,10000.0
2025-04-02,10000.0,10000.0
2025-04-03,10000.0,10000.0
2025-04-04,10000.0,10000.0
2025-04-05,10000.0,10000.0
2025-04-06,10000.0,10000.0
2025-04-07,10000.0,10000.0
2025-04-08,10000.0,10000.0
2025-04-09,10000.0,10000.0
2025-04-10,10000.0,10000.0
2025-04-11,10000.0,10000.0
2025-04-12,10000.0,10000.0
2025-04-13,10000.0,10000.0
2025-04-14,10000.0,10000.0
2025-04-15,10000.0,10000.0
2025-04-16,10000.0,10000.0
2025-04-17,10000.0,10000.0
2025-04-18,10000.0,10000.0
2025-04-19,10000.0,10000.0
2025-04-20,10000.0,10000.0
2025-04-21,10000.0,10000.0
2025-04-22,10000.0,10000.0
2025-04-23,10000.0,10000.0
2025-04-24,10000.0,10000.0
2025-04-25,10000.0,10000.0
2025-04-26,10000.0,10000.0
2025-04-27,10000.0,10000.0
2025-04-28,10000.0,10000.0
2025-04-29,10000.0,10000.0
2025-04-30,10000.0,10000.0
2025-05-01,10000.0,10000.0
2025-05-02,10000.0,10000.0
2025-05-03,10000.0,10000.0
2025-05-04,10000.0,10000.0
2025-05-05,10000.0,10000.0
2025-05-06,10000.0,10000.0
2025-05-07,10000.0,10000.0
2025-05-08,10000.0,10000.0
2025-05-09,10000.0,10000.0
2025-05-10,10000.0,10000.0
2025-05-11,10000.0,10000.0
2025-05-12,10000.0,10000.0
2025-05-13,10000.0,10000.0
2025-05-14,10000.0,10000.0
2025-05-15,10000.0,10000.0
2025-05-16,10000.0,10000.0
2025-05-17,9994.586600496283,8229.717911797467
2025-05-18,10015.572363597394,8229.717911797467
2025-05-19,10026.790074325336,8229.717911797467
2025-05-20,10031.784327647218,8229.717911797467
2025-05-21,10078.26992527466,8229.717911797467
2025-05-22,10075.039005760662,8229.717911797467
2025-05-23,10076.828432031332,8229.717911797467
2025-05-24,10123.428294724139,8229.717911797467
2025-05-25,10126.369994422315,5383.232927139444
2025-05-26,10148.240702650495,3187.819685962308
2025-05-27,10203.77274268781,3187.819685962308
2025-05-28,10206.92575841872,3187.819685962308
2025-05-29,10245.364395040402,3187.819685962308
2025-05-30,10231.200106109101,3187.819685962308
2025-05-31,10252.27957540693,3187.819685962308
2025-06-01,10235.501794539941,912.8617257742399
2025-06-02,10227.207022037506,912.8617257742399
2025-06-03,10259.07562932606,912.8617257742399
2025-06-04,10348.77826253693,912.8617257742399
2025-06-05,10440.404054138575,912.8617257742399
2025-06-06,10465.118730730173,912.8617257742399
2025-06-07,10523.011702331705,912.8617257742399
2025-06-08,10585.16322182449,912.8617257742399
2025-06-09,10678.951586534902,912.8617257742399
2025-06-10,10762.268241333419,912.8617257742399
2025-06-11,10801.050098830798,912.8617257742399
