order_id,signal_time,fill_time,symbol,side,qty,fill_price,commission,slip,slip_dir,costs,strategy_id,exit_reason,is_maker
qt_847aa467478e35161c55171d,2024-10-03,2024-10-04,BTC-USDT,short,0.2734841338149588,11235.683002583442,1.536390516890494,5.620651827204711,negative,"{'commission': np.float64(1.536390516890494), 'slippage': np.float64(1.5371590964385458), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(3.07354961332904)}",RangeMeanReversion,signal,False
qt_73d1b494cbccf1c748ff8502,2024-10-03,2024-10-04,SOL-USDT,short,1.2043470657561612,2521.5111468524196,1.5183872754915824,1.2613862665593842,negative,"{'commission': np.float64(1.5183872754915824), 'slippage': np.float64(1.5191468489159135), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(3.037534124407496)}",RangeMeanReversion,signal,False
qt_4171abe29a9317b0c5fc3e1a,2024-10-04,2024-10-05,BTC-USDT,cover,0.2734841338149588,11253.691880764587,1.5388530881156688,5.62403392341912,positive,"{'commission': np.float64(1.5388530881156688), 'slippage': np.float64(1.5380840460922223), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(3.076937134207891)}",RangeMeanReversion,hard_stop,False
qt_f8a2ff29e57f6f3fde507a40,2024-10-04,2024-10-05,ETH-USDT,short,1.1937978636380688,2517.1305337444323,1.5024725268411276,1.2591948643043906,negative,"{'commission': np.float64(1.5024725268411276), 'slippage': np.float64(1.5032241389106096), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(3.005696665751737)}",RangeMeanReversion,signal,False
qt_21c99726bbc9d0808918a60a,2024-10-05,2024-10-06,BTC-USDT,short,0.2655241587487659,11240.931395248972,1.4923694261380371,5.623277336291721,negative,"{'commission': np.float64(1.4923694261380371), 'slippage': np.float64(1.4931159841298605), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(2.9854854102678976)}",RangeMeanReversion,signal,False
qt_2192337d4a82a9e6aef550b3,2024-10-06,2024-10-07,ETH-USDT,cover,1.1937978636380688,2538.328016503999,1.5151252816575655,1.268529743379986,positive,"{'commission': np.float64(1.5151252816575655), 'slippage': np.float64(1.514368097608375), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(3.029493379265941)}",RangeMeanReversion,hard_stop,False
qt_42c76ad7965dce0eb3e6cb81,2024-10-06,2024-10-07,SOL-USDT,cover,1.2043470657561612,2536.330139846637,1.5273108808566056,1.2675313042709604,positive,"{'commission': np.float64(1.5273108808566056), 'slippage': np.float64(1.5265476070528112), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(3.053858487909417)}",RangeMeanReversion,hard_stop,False
qt_5175ef7723a337844485eedb,2024-10-07,2024-10-08,BTC-USDT,cover,0.2655241587487659,11259.801082451982,1.4948746050482533,5.6270869977270195,positive,"{'commission': np.float64(1.4948746050482533), 'slippage': np.float64(1.4941275412775856), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(2.9890021463258387)}",RangeMeanReversion,hard_stop,False
qt_813ac5045c44e3750d130993,2024-10-07,2024-10-08,SOL-USDT,short,1.1688894073008107,2509.758486839242,1.4668150550748507,1.2555069969180295,negative,"{'commission': np.float64(1.4668150550748507), 'slippage': np.float64(1.4675488294895362), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(2.934363884564387)}",RangeMeanReversion,signal,False
qt_4094ed10200250c00cfcdd21,2024-10-12,2024-10-13,ETH-USDT,short,1.1627357430934355,2559.5048611274856,1.4880138933271638,1.2803926268770738,negative,"{'commission': np.float64(1.4880138933271638), 'slippage': np.float64(1.4887582724632704), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(2.9767721657904342)}",RangeMeanReversion,signal,False
qt_113fc0279930d728d1812c25,2024-10-14,2024-10-15,BTC-USDT,short,0.26102359056319313,11472.253083074638,1.4972643457969024,5.738996039555786,negative,"{'commission': np.float64(1.4972643457969024), 'slippage': np.float64(1.4980133524727965), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(2.9952776982696987)}",RangeMeanReversion,signal,False
qt_c688851c38c6d6b9330c7a74,2024-10-15,2024-10-16,SOL-USDT,cover,1.1688894073008107,2454.191447319836,1.4343391931302008,1.22648248241876,positive,"{'commission': np.float64(1.4343391931302008), 'slippage': np.float64(1.4336223819392913), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(2.867961575069492)}",RangeMeanReversion,Target hit (Mid Band),False
qt_76e4ddcbc623f3df72393d11,2024-10-17,2024-10-18,ETH-USDT,cover,1.1627357430934355,2600.684206620575,1.511954241768168,1.2996922571815048,positive,"{'commission': np.float64(1.511954241768168), 'slippage': np.float64(1.5111986424467216), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(3.0231528842148894)}",RangeMeanReversion,hard_stop,False
qt_f2ab0604498445a434e8450b,2024-10-20,2024-10-21,SOL-USDT,short,1.1651018740525645,2586.4744771194605,1.5067531302405053,1.2938841806499113,negative,"{'commission': np.float64(1.5067531302405053), 'slippage': np.float64(1.5075068836821786), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(3.0142600139226836)}",RangeMeanReversion,signal,False
