order_id,signal_time,fill_time,symbol,side,qty,fill_price,commission,slip,slip_dir,costs,strategy_id,exit_reason,is_maker
qt_a8595bdcd7edba18f20bf0a6,2024-10-03,2024-10-04,SOL-USDT,short,1.2043470657561612,2521.5111468524196,1.5183872754915824,1.2613862665593842,negative,"{'commission': np.float64(1.5183872754915824), 'slippage': np.float64(1.5191468489159135), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(3.037534124407496)}",RangeMeanReversion,signal,False
qt_817d61c5b93edc32b82a66fb,2024-10-04,2024-10-05,BTC-USDT,short,0.2670028088607341,11242.443812917749,1.50088203825401,5.62403392341912,negative,"{'commission': np.float64(1.50088203825401), 'slippage': np.float64(1.5016328546809596), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(3.0025148929349696)}",RangeMeanReversion,signal,False
qt_351905c7f862363a2f691701,2024-10-04,2024-10-05,ETH-USDT,short,1.193817000687325,2517.1305337444323,1.5024966120666319,1.2591948643043906,negative,"{'commission': np.float64(1.5024966120666319), 'slippage': np.float64(1.5032482361847508), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(3.005744848251383)}",RangeMeanReversion,signal,False
qt_4195320d4760e5ff76b4195e,2024-10-06,2024-10-07,ETH-USDT,cover,1.193817000687325,2538.328016503999,1.5151495697117054,1.268529743379986,positive,"{'commission': np.float64(1.5151495697117054), 'slippage': np.float64(1.514392373524557), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(3.0295419432362625)}",RangeMeanReversion,hard_stop,False
qt_e6682f37071ad99bf02c00f2,2024-10-06,2024-10-07,SOL-USDT,cover,1.2043470657561612,2536.330139846637,1.5273108808566056,1.2675313042709604,positive,"{'commission': np.float64(1.5273108808566056), 'slippage': np.float64(1.5265476070528112), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(3.053858487909417)}",RangeMeanReversion,hard_stop,False
qt_1c427e18c1ba68cc26619069,2024-10-07,2024-10-08,BTC-USDT,cover,0.2670028088607341,11259.801082451982,1.5031992581139066,5.6270869977270195,positive,"{'commission': np.float64(1.5031992581139066), 'slippage': np.float64(1.5024480340968294), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(3.0056472922107362)}",RangeMeanReversion,hard_stop,False
qt_c3df9a8193b84ee70e3904dd,2024-10-07,2024-10-08,SOL-USDT,short,1.1698571033940717,2509.758486839242,1.468029396816222,1.2555069969180295,negative,"{'commission': np.float64(1.468029396816222), 'slippage': np.float64(1.4687637787055157), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(2.9367931755217374)}",RangeMeanReversion,signal,False
qt_d54f593ce7d6d5cfb44efbff,2024-10-12,2024-10-13,ETH-USDT,short,1.1637139866873383,2559.5048611274856,1.4892658029441441,1.2803926268770738,negative,"{'commission': np.float64(1.4892658029441441), 'slippage': np.float64(1.490010808348193), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(2.9792766112923372)}",RangeMeanReversion,signal,False
qt_d0b360434bcff172e1a72af3,2024-10-15,2024-10-16,SOL-USDT,cover,1.1698571033940717,2454.191447319836,1.4355266488680438,1.22648248241876,positive,"{'commission': np.float64(1.4355266488680438), 'slippage': np.float64(1.434809244245981), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(2.870335893114025)}",RangeMeanReversion,Target hit (Mid Band),False
qt_428da9369c479d0414631d22,2024-10-17,2024-10-18,ETH-USDT,cover,1.1637139866873383,2600.684206620575,1.5132262931006133,1.2996922571815048,positive,"{'commission': np.float64(1.5132262931006133), 'slippage': np.float64(1.5124700580713544), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(3.025696351171968)}",RangeMeanReversion,hard_stop,False
qt_01242a0d41b1c1dab7acdef1,2024-10-20,2024-10-21,SOL-USDT,short,1.1677061624541691,2586.4744771194605,1.5101210929814095,1.2938841806499113,negative,"{'commission': np.float64(1.5101210929814095), 'slippage': np.float64(1.5108765312468648), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(3.0209976242282743)}",RangeMeanReversion,signal,False
qt_d434f663343aab4d0d07a305,2024-10-22,2024-10-23,SOL-USDT,cover,1.1677061624541691,2582.916715736565,1.5080438830357352,1.2908129513925815,positive,"{'commission': np.float64(1.5080438830357352), 'slippage': np.float64(1.5072902379167712), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(3.0153341209525064)}",RangeMeanReversion,hard_stop,False
qt_4f356620256730158e1ff1c7,2024-10-23,2024-10-24,ETH-USDT,short,1.1147737569379363,2665.412089415789,1.485665724352917,1.3333727310732684,negative,"{'commission': np.float64(1.485665724352917), 'slippage': np.float64(1.486408928817144), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(2.9720746531700613)}",RangeMeanReversion,signal,False
qt_8216f9d2b6ee7271bc7fd437,2024-10-23,2024-10-24,SOL-USDT,short,1.157729809404817,2561.957719047679,1.4830274108881345,1.281619669358406,negative,"{'commission': np.float64(1.4830274108881345), 'slippage': np.float64(1.483769295535772), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(2.9667967064239065)}",RangeMeanReversion,signal,False
qt_99cd128b53897c5d679751b9,2024-10-26,2024-10-27,ETH-USDT,cover,1.1147737569379363,2707.4827216165127,1.5091153427104944,1.3530648283940536,positive,"{'commission': np.float64(1.5091153427104944), 'slippage': np.float64(1.5083611621294233), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(3.0174765048399177)}",RangeMeanReversion,hard_stop,False
qt_193d5e3aab06d6c276668584,2024-10-27,2024-10-28,BTC-USDT,short,0.24807725628925037,12160.004575057983,1.508310285722558,6.083043809432638,negative,"{'commission': np.float64(1.508310285722558), 'slippage': np.float64(1.5090648181313584), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(3.0173751038539165)}",RangeMeanReversion,signal,False
qt_715c2288d25014bbfae33c10,2024-10-27,2024-10-28,SOL-USDT,cover,1.157729809404817,2695.160417428853,1.5601337781926565,1.3469067553364766,positive,"{'commission': np.float64(1.5601337781926565), 'slippage': np.float64(1.5593541011417595), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(3.1194878793344163)}",RangeMeanReversion,hard_stop,False
qt_90c9ee9d45d06bf48fc3e808,2024-10-28,2024-10-29,BTC-USDT,cover,0.24807725628925037,11990.087952051903,1.4872340609059165,5.992047952049688,positive,"{'commission': np.float64(1.4872340609059165), 'slippage': np.float64(1.4864908154981082), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(2.9737248764040247)}",RangeMeanReversion,hard_stop,False
qt_47c4d6610713ff4872749118,2024-10-28,2024-10-29,SOL-USDT,short,1.090299892143556,2698.353887535549,1.471007476272577,1.3498518697024338,negative,"{'commission': np.float64(1.471007476272577), 'slippage': np.float64(1.471743347946341), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(2.942750824218918)}",RangeMeanReversion,signal,False
qt_48b96f6acfd5ba0c86f1e935,2024-10-29,2024-10-30,BTC-USDT,short,0.24475282648351035,11994.290738116895,1.4678182799095498,6.000145441777931,negative,"{'commission': np.float64(1.4678182799095498), 'slippage': np.float64(1.4685525561872996), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(2.9363708360968497)}",RangeMeanReversion,signal,False
qt_69c122f4cc2b3c3b93e44ecd,2024-10-30,2024-10-31,SOL-USDT,cover,1.090299892143556,2750.221111352293,1.499282890539168,1.3744233440038442,positive,"{'commission': np.float64(1.499282890539168), 'slippage': np.float64(1.498533623726977), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(2.997816514266145)}",RangeMeanReversion,hard_stop,False
qt_448c6123c37e12490f71da84,2024-11-01,2024-11-02,BTC-USDT,cover,0.24475282648351035,12299.933848254115,1.5052217874601976,6.1468934773874935,positive,"{'commission': np.float64(1.5052217874601976), 'slippage': np.float64(1.5044695526836427), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(3.0096913401438403)}",Router,StateSwitch,False
qt_db1e9cd013489b76ef214b90,2024-11-04,2024-11-05,ETH-USDT,buy,0.6913506660917961,2925.8792466928517,1.0114042830526329,1.4622085190867438,positive,"{'commission': np.float64(1.0114042830526329), 'slippage': np.float64(1.010898833635719), 'impact': np.float64(0.0), 'funding': None, 'borrow': None, 'funding_status': 'not_modeled', 'borrow_status': 'not_modeled', 'modeled_total': np.float64(2.022303116688352)}",TrendBreakout,signal,False
